,Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,player_id
4,,South Carolina,,,,,56.0,129.0,43.4,758.0,5.9,3.4,4.0,9.0,89.0,497
0,1996,Kentucky,SEC,,QB,7.0,32.0,84.0,38.1,276.0,3.3,3.0,1.0,1.0,67.2,498
1,1997,Kentucky,SEC,,QB,11.0,363.0,547.0,66.4,3884.0,7.1,6.9,37.0,19.0,141.4,498
2,1998,Kentucky,SEC,,QB,11.0,400.0,553.0,72.3,4275.0,7.7,7.8,36.0,15.0,153.3,498
3,Career,Kentucky,,,,,795.0,1184.0,67.1,8435.0,7.1,7.0,74.0,35.0,141.7,498
0,2000,Kentucky,SEC,FR,QB,11.0,321.0,559.0,57.4,3687.0,6.6,5.6,19.0,21.0,116.5,499
1,2001,Kentucky,SEC,SO,QB,8.0,167.0,292.0,57.2,2179.0,7.5,7.7,19.0,7.0,136.6,499
2,2002,Kentucky,SEC,JR,QB,12.0,183.0,327.0,56.0,2267.0,6.9,7.7,24.0,5.0,135.4,499
3,2003,Kentucky,SEC,SR,QB,12.0,191.0,336.0,56.8,2221.0,6.6,6.5,16.0,8.0,123.3,499
4,Career,Kentucky,,,,,862.0,1514.0,56.9,10354.0,6.8,6.7,78.0,41.0,126.0,499
0,1963,Kentucky,SEC,,QB,10.0,79.0,182.0,43.4,1177.0,6.5,2.7,6.0,18.0,88.8,500
1,1964,Kentucky,SEC,,QB,10.0,106.0,202.0,52.5,1514.0,7.5,6.2,9.0,10.0,120.2,500
2,1965,Kentucky,SEC,,QB,10.0,113.0,214.0,52.8,1823.0,8.5,6.2,11.0,16.0,126.4,500
3,Career,Kentucky,,,,,298.0,598.0,49.8,4514.0,7.5,5.1,26.0,44.0,112.9,500
0,1996,Georgia Tech,ACC,,QB,10.0,108.0,188.0,57.4,1342.0,7.1,4.8,7.0,13.0,115.9,502
1,1997,Georgia Tech,ACC,,QB,11.0,173.0,268.0,64.6,2314.0,8.6,8.4,12.0,7.0,146.6,502
2,1998,Georgia Tech,ACC,,QB,11.0,145.0,259.0,56.0,2166.0,8.4,8.3,17.0,8.0,141.7,502
3,1999,Georgia Tech,ACC,,QB,11.0,203.0,305.0,66.6,3060.0,10.0,10.3,29.0,11.0,175.0,502
4,Career,Georgia Tech,,,,,629.0,1020.0,61.7,8882.0,8.7,8.3,65.0,39.0,148.2,502
0,1978,Georgia Tech,Ind,,QB,11.0,96.0,197.0,48.7,1479.0,7.5,5.9,7.0,10.0,113.4,503
1,1979,Georgia Tech,Ind,,QB,11.0,149.0,300.0,49.7,2051.0,6.8,4.7,10.0,19.0,105.4,503
2,1980,Georgia Tech,Ind,,QB,7.0,68.0,137.0,49.6,832.0,6.1,4.9,3.0,5.0,100.6,503
3,1981,Georgia Tech,Ind,,QB,6.0,78.0,151.0,51.7,887.0,5.9,3.9,3.0,8.0,97.0,503
4,Career,Georgia Tech,,,,,391.0,785.0,49.8,5249.0,6.7,4.9,23.0,42.0,104.9,503
0,1983,Georgia Tech,ACC,,QB,2.0,2.0,12.0,16.7,24.0,2.0,-5.5,0.0,2.0,0.1,504
1,1984,Georgia Tech,ACC,,QB,8.0,6.0,14.0,42.9,98.0,7.0,3.8,0.0,1.0,87.4,504
2,1986,Georgia Tech,ACC,,QB,10.0,87.0,167.0,52.1,1011.0,6.1,5.0,5.0,6.0,105.6,504
3,1987,Georgia Tech,ACC,,QB,7.0,83.0,163.0,50.9,1066.0,6.5,5.3,6.0,7.0,109.4,504
4,Career,Georgia Tech,,,,,178.0,356.0,50.0,2199.0,6.2,4.8,11.0,16.0,103.1,504
0,1979,SMU,SWC,,QB,11.0,73.0,148.0,49.3,1001.0,6.8,5.4,10.0,9.0,116.3,505
1,1981,Georgia Tech,Ind,,QB,8.0,25.0,58.0,43.1,297.0,5.1,1.6,1.0,5.0,74.6,505
2,1982,Georgia Tech,Ind,,QB,11.0,135.0,232.0,58.2,1839.0,7.9,5.9,3.0,12.0,118.7,505
3,Career,Overall,,,,,233.0,438.0,53.2,3137.0,7.2,5.1,14.0,26.0,112.0,505
4,,SMU,,,,,73.0,148.0,49.3,1001.0,6.8,5.4,10.0,9.0,116.3,505
5,,Georgia Tech,,,,,160.0,290.0,55.2,2136.0,7.4,5.0,4.0,17.0,109.9,505
0,1990,Washington State,Pac-10,,QB,7.0,92.0,189.0,48.7,1386.0,7.3,7.3,9.0,4.0,121.8,506
1,1991,Washington State,Pac-10,,QB,11.0,199.0,358.0,55.6,2741.0,7.7,6.7,17.0,15.0,127.2,506
2,*1992,Washington State,Pac-10,,QB,12.0,241.0,432.0,55.8,3246.0,7.5,6.9,20.0,15.0,127.2,506
3,Career,Washington State,,,,,532.0,979.0,54.3,7373.0,7.5,6.9,46.0,34.0,126.2,506
0,1983,Washington State,Pac-10,,QB,7.0,6.0,10.0,60.0,66.0,6.6,6.6,0.0,0.0,115.4,507
1,1984,Washington State,Pac-10,,QB,11.0,6.0,10.0,60.0,60.0,6.0,6.0,0.0,0.0,110.4,507
2,1985,Washington State,Pac-10,,QB,7.0,7.0,17.0,41.2,79.0,4.6,5.8,1.0,0.0,99.6,507
3,1986,Washington State,Pac-10,,QB,11.0,117.0,227.0,51.5,1882.0,8.3,7.1,11.0,11.0,127.5,507
4,Career,Washington State,,,,,136.0,264.0,51.5,2087.0,7.9,6.9,12.0,11.0,124.6,507
0,2014,Washington State,Pac-12,FR,QB,5.0,156.0,243.0,64.2,1859.0,7.7,7.4,13.0,7.0,140.4,508
1,*2015,Washington State,Pac-12,SO,QB,12.0,447.0,644.0,69.4,4561.0,7.1,7.7,38.0,8.0,145.9,508
