,Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,player_id
2,*2006,Michigan,Big Ten,JR,QB,13.0,203.0,328.0,61.9,2508.0,7.6,7.9,22.0,8.0,143.4,63
3,*2007,Michigan,Big Ten,SR,QB,10.0,162.0,278.0,58.3,1938.0,7.0,6.7,17.0,9.0,130.5,63
4,Career,Michigan,,,,,828.0,1387.0,59.7,9715.0,7.0,7.1,87.0,37.0,133.9,63
0,1998,Michigan,Big Ten,,QB,7.0,19.0,45.0,42.2,233.0,5.2,5.5,3.0,1.0,103.3,64
1,1999,Michigan,Big Ten,,QB,9.0,46.0,89.0,51.7,546.0,6.1,5.8,3.0,2.0,109.8,64
2,2000,Michigan,Big Ten,JR,QB,8.0,131.0,217.0,60.4,1852.0,8.5,9.2,16.0,4.0,152.7,64
3,Career,Michigan,,,,,196.0,351.0,55.8,2631.0,7.5,7.9,22.0,7.0,135.5,64
0,*2007,Michigan,Big Ten,FR,QB,11.0,61.0,141.0,43.3,892.0,6.3,5.7,7.0,5.0,105.7,65
1,*2009,Arkansas,SEC,SO,QB,13.0,225.0,403.0,55.8,3624.0,9.0,9.7,30.0,7.0,152.5,65
2,*2010,Arkansas,SEC,JR,QB,13.0,266.0,411.0,64.7,3869.0,9.4,9.7,32.0,12.0,163.6,65
3,Career,Overall,,,,,552.0,955.0,57.8,8385.0,8.8,9.1,69.0,24.0,150.4,65
4,,Michigan,,,,,61.0,141.0,43.3,892.0,6.3,5.7,7.0,5.0,105.7,65
5,,Arkansas,,,,,491.0,814.0,60.3,7493.0,9.2,9.7,62.0,19.0,158.1,65
0,2000,Michigan,Big Ten,FR,QB,9.0,40.0,77.0,51.9,583.0,7.6,9.1,8.0,1.0,147.2,66
1,2001,Michigan,Big Ten,SO,QB,11.0,186.0,346.0,53.8,2195.0,6.3,5.8,17.0,12.0,116.3,66
2,*2002,Michigan,Big Ten,JR,QB,13.0,248.0,448.0,55.4,2905.0,6.5,6.7,21.0,7.0,122.2,66
3,*2003,Michigan,Big Ten,SR,QB,13.0,270.0,456.0,59.2,3331.0,7.3,7.4,24.0,10.0,133.6,66
4,Career,Michigan,,,,,744.0,1327.0,56.1,9014.0,6.8,6.8,70.0,30.0,126.0,66
0,1956,Michigan,Big Ten,,QB,9.0,15.0,23.0,65.2,245.0,10.7,9.3,3.0,2.0,180.3,67
1,1957,Michigan,Big Ten,,RB,9.0,2.0,3.0,66.7,23.0,7.7,14.3,1.0,0.0,241.1,67
2,1958,Michigan,Big Ten,,QB,9.0,65.0,115.0,56.5,763.0,6.6,3.6,3.0,9.0,105.2,67
3,Career,Michigan,,,,,82.0,141.0,58.2,1031.0,7.3,4.8,7.0,11.0,120.4,67
0,*2013,Iowa,Big Ten,SO,QB,13.0,204.0,346.0,59.0,2383.0,6.9,6.2,18.0,13.0,126.5,68
1,*2014,Iowa,Big Ten,JR,QB,12.0,213.0,345.0,61.7,2436.0,7.1,7.3,16.0,5.0,133.5,68
2,*2015,Michigan,Big Ten,SR,QB,13.0,249.0,389.0,64.0,3017.0,7.8,7.7,20.0,9.0,141.5,68
3,Career,Overall,,,,,666.0,1080.0,61.7,7836.0,7.3,7.1,54.0,27.0,134.1,68
4,,Iowa,,,,,417.0,691.0,60.3,4819.0,7.0,6.8,34.0,18.0,130.0,68
5,,Michigan,,,,,249.0,389.0,64.0,3017.0,7.8,7.7,20.0,9.0,141.5,68
0,1980,Penn State,Ind,,QB,11.0,76.0,159.0,47.8,1037.0,6.5,3.7,7.0,13.0,100.8,69
1,1981,Penn State,Ind,,QB,11.0,104.0,207.0,50.2,1557.0,7.5,5.6,12.0,14.0,119.0,69
2,1982,Penn State,Ind,,QB,11.0,161.0,292.0,55.1,2218.0,7.6,6.9,22.0,14.0,134.2,69
3,Career,Penn State,,,,,341.0,658.0,51.8,4812.0,7.3,5.8,41.0,41.0,121.4,69
0,1991,Penn State,Ind,,QB,12.0,3.0,6.0,50.0,95.0,15.8,11.7,1.0,1.0,204.7,70
1,1992,Penn State,Ind,,QB,11.0,64.0,137.0,46.7,925.0,6.8,6.7,4.0,2.0,110.1,70
2,1993,Penn State,Big Ten,,QB,11.0,127.0,250.0,50.8,1605.0,6.4,5.5,13.0,11.0,113.1,70
3,1994,Penn State,Big Ten,,QB,11.0,176.0,264.0,66.7,2679.0,10.1,10.5,21.0,7.0,172.9,70
4,Career,Penn State,,,,,370.0,657.0,56.3,5304.0,8.1,7.8,39.0,21.0,137.3,70
0,1975,Penn State,Ind,,QB,3.0,4.0,9.0,44.4,42.0,4.7,-0.3,0.0,1.0,61.4,71
1,1976,Penn State,Ind,,QB,11.0,88.0,167.0,52.7,1260.0,7.5,6.2,11.0,10.0,125.8,71
2,1977,Penn State,Ind,,QB,11.0,142.0,246.0,57.7,2221.0,9.0,8.6,15.0,9.0,146.4,71
3,1978,Penn State,Ind,,QB,11.0,137.0,242.0,56.6,1859.0,7.7,6.4,11.0,12.0,126.2,71
4,Career,Penn State,,,,,371.0,664.0,55.9,5382.0,8.1,7.1,37.0,32.0,132.7,71
0,1959,Penn State,Ind,,QB,10.0,18.0,36.0,50.0,220.0,6.1,6.0,2.0,1.0,114.1,72
1,1960,Penn State,Ind,,QB,9.0,39.0,89.0,43.8,448.0,5.0,3.6,5.0,5.0,93.4,72
2,1961,Penn State,Ind,,QB,10.0,50.0,97.0,51.5,951.0,9.8,9.1,8.0,5.0,150.8,72
3,Career,Penn State,,,,,107.0,222.0,48.2,1619.0,7.3,6.4,15.0,11.0,121.8,72
0,1979,Penn State,Ind,,QB,11.0,6.0,17.0,35.3,72.0,4.2,1.6,0.0,1.0,59.1,73
1,1980,Penn State,Ind,,QB,11.0,18.0,42.0,42.9,247.0,5.9,5.3,1.0,1.0,95.4,73
2,1982,West Virginia,Ind,,QB,11.0,127.0,264.0,48.1,1798.0,6.8,6.7,10.0,5.0,114.0,73
3,1983,West Virginia,Ind,,QB,11.0,163.0,286.0,57.0,2247.0,7.9,7.3,14.0,10.0,132.1,73
4,Career,Overall,,,,,314.0,609.0,51.6,4364.0,7.2,6.7,25.0,17.0,119.7,73
5,,Penn State,,,,,24.0,59.0,40.7,319.0,5.4,4.2,1.0,2.0,84.9,73
6,,West Virginia,,,,,290.0,550.0,52.7,4045.0,7.4,7.0,24.0,15.0,123.5,73
0,1970,Penn State,Ind,,QB,10.0,24.0,56.0,42.9,321.0,5.7,3.7,1.0,3.0,86.2,74
1,1971,Penn State,Ind,,QB,11.0,86.0,136.0,63.2,1185.0,8.7,8.2,10.0,6.0,151.9,74
2,1972,Penn State,Ind,,QB,11.0,115.0,216.0,53.2,2039.0,9.4,9.2,15.0,8.0,148.0,74
3,Career,Penn State,,,,,225.0,408.0,55.1,3545.0,8.7,8.1,26.0,17.0,140.8,74
0,1971,Penn State,Ind,,QB,11.0,16.0,41.0,39.0,399.0,9.7,9.9,7.0,3.0,162.5,75
1,1973,Temple,Ind,,QB,10.0,80.0,159.0,50.3,1312.0,8.3,6.8,11.0,10.0,129.9,75
2,1974,Temple,Ind,,,10.0,128.0,221.0,57.9,1950.0,8.8,8.0,20.0,13.0,150.1,75
3,Career,Overall,,,,,224.0,421.0,53.2,3661.0,8.7,7.7,38.0,26.0,143.7,75
4,,Penn State,,,,,16.0,41.0,39.0,399.0,9.7,9.9,7.0,3.0,162.5,75
5,,Temple,,,,,208.0,380.0,54.7,3262.0,8.6,7.5,31.0,23.0,141.7,75
0,1961,Penn State,Ind,,QB,10.0,17.0,32.0,53.1,216.0,6.8,6.6,2.0,1.0,124.2,76
1,1962,Penn State,Ind,,QB,10.0,91.0,162.0,56.2,1037.0,6.4,6.8,12.0,4.0,129.4,76
2,1963,Penn State,Ind,,QB,10.0,87.0,161.0,54.0,1117.0,6.9,6.8,10.0,5.0,126.6,76
3,Career,Penn State,,,,,195.0,355.0,54.9,2370.0,6.7,6.8,24.0,10.0,127.7,76
0,*2009,Penn State,Big Ten,FR,QB,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
1,*2010,Penn State,Big Ten,SO,QB,9.0,118.0,215.0,54.9,1548.0,7.2,6.6,14.0,9.0,128.5,77
2,*2011,Penn State,Big Ten,JR,QB,12.0,125.0,231.0,54.1,1571.0,6.8,6.5,8.0,5.0,118.3,77
3,2012,Penn State,Big Ten,SR,QB,12.0,270.0,446.0,60.5,3271.0,7.3,7.9,24.0,5.0,137.7,77
4,Career,Penn State,,,,,513.0,894.0,57.4,6390.0,7.1,7.2,46.0,19.0,130.2,77
0,*2015,Penn State,Big Ten,FR,QB,6.0,20.0,40.0,50.0,185.0,4.6,5.6,2.0,0.0,105.4,78
1,*2016,Penn State,Big Ten,SO,QB,14.0,224.0,387.0,57.9,3614.0,9.3,9.9,29.0,8.0,156.9,78
2,*2017,Penn State,Big Ten,JR,QB,13.0,284.0,427.0,66.5,3570.0,8.4,8.6,28.0,10.0,153.7,78
3,*2018,Penn State,Big Ten,SR,QB,13.0,192.0,361.0,53.2,2530.0,7.0,7.1,18.0,7.0,124.6,78
4,Career,Penn State,,,,,720.0,1215.0,59.3,9899.0,8.1,8.5,77.0,25.0,144.5,78
0,1954,Penn State,Ind,,QB,9.0,3.0,17.0,17.6,42.0,2.5,-8.1,0.0,4.0,-8.7,79
1,1955,Penn State,Ind,,QB,9.0,17.0,41.0,41.5,244.0,6.0,1.4,2.0,5.0,83.2,79
2,1956,Penn State,Ind,,QB,9.0,40.0,75.0,53.3,675.0,9.0,6.4,6.0,7.0,136.7,79
3,Career,Penn State,,,,,60.0,133.0,45.1,961.0,7.2,3.0,8.0,16.0,101.6,79
0,1992,Penn State,Ind,,QB,11.0,24.0,45.0,53.3,312.0,6.9,7.8,2.0,0.0,126.2,80
1,1994,Penn State,Big Ten,,QB,11.0,16.0,33.0,48.5,177.0,5.4,5.4,0.0,0.0,93.5,80
2,1995,Penn State,Big Ten,,QB,11.0,193.0,335.0,57.6,2198.0,6.6,6.8,18.0,6.0,126.9,80
3,1996,Penn State,Big Ten,,QB,12.0,145.0,279.0,52.0,1732.0,6.2,5.4,7.0,8.0,106.7,80
4,Career,Penn State,,,,,378.0,692.0,54.6,4419.0,6.4,6.3,27.0,14.0,117.1,80
0,1988,Penn State,Ind,,QB,11.0,54.0,146.0,37.0,821.0,5.6,4.6,4.0,5.0,86.4,81
1,1989,Penn State,Ind,,QB,11.0,56.0,137.0,40.9,694.0,5.1,4.3,6.0,5.0,90.6,81
2,1990,Penn State,Ind,,QB,11.0,122.0,249.0,49.0,1866.0,7.5,6.7,10.0,9.0,118.0,81
3,1991,Penn State,Ind,,QB,12.0,169.0,292.0,57.9,2488.0,8.5,9.2,21.0,5.0,149.8,81
4,Career,Penn State,,,,,401.0,824.0,48.7,5869.0,7.1,6.8,41.0,24.0,119.1,81
0,1956,Penn State,Ind,,QB,9.0,4.0,17.0,23.5,38.0,2.2,2.2,0.0,0.0,42.3,82
1,1957,Penn State,Ind,,QB,9.0,9.0,22.0,40.9,86.0,3.9,2.8,1.0,1.0,79.7,82
2,1958,Penn State,Ind,,QB,10.0,3.0,8.0,37.5,20.0,2.5,-3.1,0.0,1.0,33.5,82
3,Career,Penn State,,,,,16.0,47.0,34.0,144.0,3.1,1.6,1.0,2.0,58.3,82
0,1965,Penn State,Ind,,QB,10.0,1.0,7.0,14.3,29.0,4.1,-2.3,0.0,1.0,20.5,83
1,1966,Penn State,Ind,,QB,10.0,58.0,135.0,43.0,943.0,7.0,6.5,6.0,4.0,110.4,83
2,1967,Penn State,Ind,,QB,10.0,104.0,205.0,50.7,1616.0,7.9,7.2,13.0,9.0,129.1,83
3,Career,Penn State,,,,,163.0,347.0,47.0,2588.0,7.5,6.7,19.0,14.0,119.6,83
0,*2015,Penn State,Big Ten,FR,QB,,,,,,,,,,,84
1,*2016,Penn State,Big Ten,FR,QB,6.0,2.0,3.0,66.7,36.0,12.0,12.0,0.0,0.0,167.5,84
2,*2017,Penn State,Big Ten,SO,QB,8.0,14.0,27.0,51.9,158.0,5.9,8.1,3.0,0.0,137.7,84
3,*2018,Penn State,Big Ten,JR,QB,6.0,8.0,11.0,72.7,110.0,10.0,7.7,1.0,1.0,168.5,84
4,*2019,Mississippi State,SEC,SR,QB,9.0,97.0,161.0,60.2,1155.0,7.2,7.1,11.0,5.0,136.8,84
5,Career,Overall,,,,,121.0,202.0,59.9,1459.0,7.2,7.4,15.0,6.0,139.1,84
6,,Penn State,,,,,24.0,41.0,58.5,304.0,7.4,8.3,4.0,1.0,148.1,84
7,,Mississippi State,,,,,97.0,161.0,60.2,1155.0,7.2,7.1,11.0,5.0,136.8,84
0,1996,Penn State,Big Ten,,QB,12.0,,,,,,,,,,85
1,1997,Penn State,Big Ten,,QB,12.0,9.0,27.0,33.3,103.0,3.8,3.8,0.0,0.0,65.4,85
2,1998,Penn State,Big Ten,,QB,11.0,121.0,226.0,53.5,1691.0,7.5,6.4,6.0,8.0,118.1,85
3,1999,Penn State,Big Ten,,QB,12.0,133.0,242.0,55.0,1916.0,7.9,7.3,13.0,9.0,131.8,85
4,Career,Penn State,,,,,263.0,495.0,53.1,3710.0,7.5,6.7,19.0,17.0,121.9,85
0,2002,Alabama,SEC,SO,QB,12.0,60.0,123.0,48.8,1046.0,8.5,7.5,5.0,5.0,125.5,86
1,2003,Alabama,SEC,JR,QB,12.0,182.0,341.0,53.4,2303.0,6.8,6.0,16.0,13.0,118.0,86
2,*2004,Alabama,SEC,JR,QB,3.0,44.0,66.0,66.7,534.0,8.1,9.9,6.0,0.0,164.6,86
3,*2005,Alabama,SEC,SR,QB,12.0,202.0,339.0,59.6,2499.0,7.4,7.7,14.0,4.0,132.8,86
4,Career,Alabama,,,,,488.0,869.0,56.2,6382.0,7.3,7.1,41.0,22.0,128.4,86
0,1968,Alabama,SEC,,QB,10.0,122.0,227.0,53.7,1471.0,6.5,5.6,10.0,9.0,114.8,87
1,1969,Alabama,SEC,,QB,10.0,157.0,266.0,59.0,2188.0,8.2,7.5,9.0,8.0,133.3,87
2,1970,Alabama,SEC,,QB,11.0,103.0,179.0,57.5,1240.0,6.9,4.1,8.0,15.0,113.7,87
3,Career,Alabama,,,,,382.0,672.0,56.8,4899.0,7.3,6.0,27.0,32.0,121.8,87
0,*2016,Alabama,SEC,FR,QB,15.0,240.0,382.0,62.8,2780.0,7.3,7.4,23.0,9.0,139.1,88
1,*2017,Alabama,SEC,SO,QB,14.0,154.0,255.0,60.4,2081.0,8.2,9.3,17.0,1.0,150.2,88
2,*2018,Alabama,SEC,JR,QB,13.0,51.0,70.0,72.9,765.0,10.9,11.9,8.0,2.0,196.7,88
3,*2019,Oklahoma,Big 12,SR,QB,14.0,237.0,340.0,69.7,3851.0,11.3,12.2,32.0,8.0,191.2,88
4,Career,Overall,,,,,682.0,1047.0,65.1,9477.0,9.1,9.7,80.0,20.0,162.6,88
5,,Alabama,,,,,445.0,707.0,62.9,5626.0,8.0,8.6,48.0,12.0,148.8,88
6,,Oklahoma,,,,,237.0,340.0,69.7,3851.0,11.3,12.2,32.0,8.0,191.2,88
0,*2018,Alabama,SEC,FR,QB,6.0,5.0,13.0,38.5,123.0,9.5,11.0,1.0,0.0,143.3,89
1,*2019,Alabama,SEC,SO,QB,11.0,97.0,141.0,68.8,1503.0,10.7,11.7,14.0,3.0,186.8,89
2,*2020,Alabama,SEC,JR,QB,13.0,311.0,402.0,77.4,4500.0,11.2,12.8,41.0,4.0,203.1,89
3,Career,Alabama,,,,,413.0,556.0,74.3,6126.0,11.0,12.5,56.0,7.0,197.6,89
0,*2010,Alabama,SEC,FR,QB,13.0,30.0,48.0,62.5,389.0,8.1,9.4,3.0,0.0,151.2,90
1,*2011,Alabama,SEC,SO,QB,13.0,219.0,328.0,66.8,2634.0,8.0,8.3,16.0,5.0,147.3,90
2,*2012,Alabama,SEC,JR,QB,14.0,211.0,314.0,67.2,2933.0,9.3,10.8,30.0,3.0,175.3,90
3,*2013,Alabama,SEC,SR,QB,13.0,226.0,336.0,67.3,3063.0,9.1,9.8,28.0,7.0,167.2,90
4,Career,Alabama,,,,,686.0,1026.0,66.9,9019.0,8.8,9.6,77.0,15.0,162.5,90
0,*2007,Alabama,SEC,FR,QB,2.0,8.0,9.0,88.9,73.0,8.1,10.3,1.0,0.0,193.7,91
1,*2008,Alabama,SEC,SO,QB,6.0,8.0,11.0,72.7,123.0,11.2,8.9,1.0,1.0,178.5,91
2,*2009,Alabama,SEC,JR,QB,14.0,198.0,325.0,60.9,2508.0,7.7,8.2,17.0,4.0,140.5,91
3,*2010,Alabama,SEC,SR,QB,13.0,222.0,313.0,70.9,2987.0,9.5,10.1,20.0,5.0,169.0,91
4,Career,Alabama,,,,,436.0,658.0,66.3,5691.0,8.6,9.2,39.0,10.0,155.4,91
0,1962,Alabama,SEC,,QB,10.0,76.0,146.0,52.1,1192.0,8.2,7.5,13.0,8.0,139.1,92
1,1963,Alabama,SEC,,QB,10.0,63.0,128.0,49.2,765.0,6.0,4.6,7.0,7.0,106.5,92
2,1964,Alabama,SEC,,QB,10.0,64.0,100.0,64.0,756.0,7.6,6.1,4.0,5.0,130.7,92
3,Career,Alabama,,,,,203.0,374.0,54.3,2713.0,7.3,6.1,24.0,20.0,125.7,92
0,1975,Alabama,SEC,,QB,11.0,8.0,16.0,50.0,87.0,5.4,6.7,1.0,0.0,116.3,93
1,1976,Alabama,SEC,,QB,11.0,62.0,109.0,56.9,979.0,9.0,7.1,8.0,8.0,141.9,93
2,1977,Alabama,SEC,,QB,11.0,64.0,107.0,59.8,1207.0,11.3,10.7,8.0,5.0,169.9,93
3,1978,Alabama,SEC,,QB,11.0,73.0,140.0,52.1,1078.0,7.7,6.3,13.0,10.0,133.2,93
4,Career,Alabama,,,,,207.0,372.0,55.6,3351.0,9.0,7.8,30.0,23.0,145.6,93
0,1963,Alabama,SEC,,QB,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
1,1964,Alabama,SEC,,QB,10.0,45.0,72.0,62.5,574.0,8.0,7.0,1.0,2.0,128.5,94
2,1965,Alabama,SEC,,QB,10.0,97.0,160.0,60.6,1453.0,9.1,9.5,10.0,3.0,153.8,94
3,Career,Alabama,,,,,142.0,234.0,60.7,2027.0,8.7,8.6,11.0,5.0,144.7,94
0,1965,Alabama,SEC,,QB,10.0,3.0,11.0,27.3,26.0,2.4,2.4,0.0,0.0,47.1,95
1,1966,Alabama,SEC,,QB,10.0,74.0,114.0,64.9,956.0,8.4,8.0,9.0,5.0,152.6,95
2,1967,Alabama,SEC,,QB,10.0,103.0,178.0,57.9,1214.0,6.8,4.5,9.0,13.0,117.2,95
3,Career,Alabama,,,,,180.0,303.0,59.4,2196.0,7.2,5.8,18.0,18.0,128.0,95
0,1952,Alabama,SEC,,QB,11.0,17.0,29.0,58.6,170.0,5.9,1.2,0.0,3.0,87.2,96
1,1953,Alabama,SEC,,QB,11.0,59.0,119.0,49.6,870.0,7.3,6.4,8.0,6.0,123.1,96
2,1954,Alabama,SEC,,QB,11.0,24.0,41.0,58.5,276.0,6.7,5.0,1.0,2.0,113.4,96
3,1955,Alabama,SEC,,QB,10.0,55.0,96.0,57.3,587.0,6.1,2.1,1.0,9.0,93.3,96
4,Career,Alabama,,,,,155.0,285.0,54.4,1903.0,6.7,4.2,10.0,20.0,108.0,96
0,*2017,Alabama,SEC,FR,QB,8.0,49.0,77.0,63.6,636.0,8.3,9.9,11.0,2.0,175.0,97
1,*2018,Alabama,SEC,SO,QB,15.0,245.0,355.0,69.0,3966.0,11.2,12.8,43.0,6.0,199.4,97
2,*2019,Alabama,SEC,JR,QB,9.0,180.0,252.0,71.4,2840.0,11.3,13.4,33.0,3.0,206.9,97
3,Career,Alabama,,,,,474.0,684.0,69.3,7442.0,10.9,12.7,87.0,11.0,199.4,97
0,1973,Alabama,SEC,,QB,11.0,18.0,33.0,54.5,325.0,9.8,9.5,4.0,2.0,165.2,98
1,1974,Alabama,SEC,,QB,11.0,36.0,67.0,53.7,656.0,9.8,9.9,5.0,2.0,154.6,98
2,1975,Alabama,SEC,,QB,11.0,47.0,89.0,52.8,661.0,7.4,7.5,7.0,3.0,134.4,98
3,Career,Alabama,,,,,101.0,189.0,53.4,1642.0,8.7,8.7,16.0,7.0,146.9,98
0,*2015,Ohio State,Big Ten,FR,QB,,,,,,,,,,,99
1,*2016,Ohio State,Big Ten,FR,QB,5.0,22.0,28.0,78.6,226.0,8.1,9.5,2.0,0.0,169.9,99
2,*2017,Ohio State,Big Ten,SO,QB,5.0,7.0,11.0,63.6,61.0,5.5,5.5,0.0,0.0,110.2,99
3,*2018,LSU,SEC,JR,QB,13.0,219.0,379.0,57.8,2894.0,7.6,7.9,16.0,5.0,133.2,99
4,*2019,LSU,SEC,SR,QB,15.0,402.0,527.0,76.3,5671.0,10.8,12.5,60.0,6.0,202.0,99
5,Career,Overall,,,,,650.0,945.0,68.8,8852.0,9.4,10.5,78.0,11.0,172.4,99
6,,Ohio State,,,,,29.0,39.0,74.4,287.0,7.4,8.4,2.0,0.0,153.1,99
7,,LSU,,,,,621.0,906.0,68.5,8565.0,9.5,10.6,76.0,11.0,173.2,99
0,1998,LSU,SEC,,QB,2.0,,,,,,,,,,100
1,1999,LSU,SEC,,QB,7.0,31.0,52.0,59.6,491.0,9.4,7.5,4.0,4.0,148.9,100
2,2000,LSU,SEC,JR,QB,4.0,38.0,59.0,64.4,577.0,9.8,11.4,7.0,1.0,182.3,100
3,2001,LSU,SEC,SR,QB,12.0,217.0,367.0,59.1,3347.0,9.1,8.9,18.0,10.0,146.5,100
4,Career,LSU,,,,,286.0,478.0,59.8,4415.0,9.2,9.0,29.0,15.0,151.2,100
0,*2004,LSU,SEC,FR,QB,10.0,4.0,10.0,40.0,99.0,9.9,11.9,1.0,0.0,156.2,101
1,*2005,LSU,SEC,SO,QB,9.0,27.0,48.0,56.3,457.0,9.5,11.5,7.0,1.0,180.2,101
2,*2006,LSU,SEC,JR,QB,10.0,12.0,20.0,60.0,133.0,6.7,6.4,2.0,1.0,138.9,101
3,*2007,LSU,SEC,SR,QB,12.0,202.0,359.0,56.3,2407.0,6.7,6.5,21.0,11.0,125.8,101
4,Career,LSU,,,,,245.0,437.0,56.1,3096.0,7.1,7.2,31.0,13.0,133.0,101
0,1986,LSU,SEC,,QB,11.0,175.0,288.0,60.8,2261.0,7.9,7.9,19.0,8.0,142.9,102
1,1987,LSU,SEC,,QB,11.0,162.0,265.0,61.1,2125.0,8.0,7.6,15.0,9.0,140.4,102
2,1988,LSU,SEC,,QB,11.0,154.0,293.0,52.6,2074.0,7.1,6.1,13.0,12.0,118.5,102
3,1989,LSU,SEC,,QB,11.0,183.0,317.0,57.7,2655.0,8.4,8.1,22.0,12.0,143.4,102
4,Career,LSU,,,,,674.0,1163.0,58.0,9115.0,7.8,7.4,69.0,41.0,136.3,102
0,*1970,LSU,SEC,,QB,12.0,57.0,109.0,52.3,909.0,8.3,6.8,5.0,6.0,126.5,103
1,1971,LSU,SEC,,QB,11.0,66.0,119.0,55.5,945.0,7.9,7.9,9.0,4.0,140.4,103
2,*1972,LSU,SEC,,QB,12.0,110.0,218.0,50.5,1536.0,7.0,6.9,14.0,7.0,124.4,103
3,Career,LSU,,,,,233.0,446.0,52.2,3390.0,7.6,7.1,28.0,17.0,129.2,103
0,2001,LSU,SEC,FR,QB,3.0,18.0,41.0,43.9,224.0,5.5,3.3,0.0,2.0,80.0,104
1,*2002,LSU,SEC,SO,QB,6.0,63.0,130.0,48.5,782.0,6.0,6.7,9.0,2.0,118.8,104
2,*2003,LSU,SEC,JR,QB,14.0,229.0,358.0,64.0,2825.0,7.9,7.7,28.0,14.0,148.2,104
3,Career,LSU,,,,,310.0,529.0,58.6,3831.0,7.2,7.1,37.0,18.0,135.7,104
0,*2011,LSU,SEC,SO,QB,5.0,8.0,11.0,72.7,92.0,8.4,10.2,1.0,0.0,173.0,105
1,*2012,LSU,SEC,JR,QB,13.0,207.0,352.0,58.8,2609.0,7.4,7.2,12.0,7.0,128.3,105
2,*2013,LSU,SEC,SR,QB,12.0,192.0,296.0,64.9,3082.0,10.4,10.7,22.0,8.0,171.4,105
3,Career,LSU,,,,,407.0,659.0,61.8,5783.0,8.8,8.8,35.0,15.0,148.4,105
0,1998,LSU,SEC,,QB,8.0,28.0,57.0,49.1,340.0,6.0,4.4,0.0,2.0,92.2,106
1,1999,LSU,SEC,,QB,5.0,7.0,20.0,35.0,91.0,4.6,0.1,0.0,2.0,53.2,106
2,2000,LSU,SEC,JR,QB,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
3,Career,LSU,,,,,35.0,79.0,44.3,431.0,5.5,3.2,0.0,4.0,80.0,106
0,1957,LSU,SEC,,QB,10.0,8.0,28.0,28.6,103.0,3.7,-1.1,0.0,3.0,38.0,107
1,1958,LSU,SEC,,QB,10.0,45.0,90.0,50.0,505.0,5.6,4.7,7.0,5.0,111.7,107
2,1959,LSU,SEC,,QB,10.0,33.0,65.0,50.8,422.0,6.5,5.0,4.0,4.0,113.3,107
3,Career,LSU,,,,,86.0,183.0,47.0,1030.0,5.6,3.9,11.0,12.0,101.0,107
0,1955,LSU,SEC,,QB,10.0,51.0,115.0,44.3,660.0,5.7,,6.0,,,108
1,1956,LSU,SEC,,QB,10.0,30.0,70.0,42.9,385.0,5.5,0.0,1.0,9.0,68.1,108
2,Career,LSU,,,,,81.0,185.0,43.8,1045.0,5.6,0.0,7.0,9.0,94.0,108
0,1980,LSU,SEC,,QB,11.0,82.0,143.0,57.3,971.0,6.8,6.2,9.0,6.0,126.8,109
1,1981,LSU,SEC,,QB,11.0,150.0,238.0,63.0,1780.0,7.5,6.0,5.0,10.0,124.4,109
2,1982,LSU,SEC,,QB,11.0,149.0,234.0,63.7,1834.0,7.8,7.8,17.0,8.0,146.6,109
3,Career,LSU,,,,,381.0,615.0,62.0,4585.0,7.5,6.7,31.0,24.0,133.4,109
0,*2004,LSU,SEC,SO,QB,11.0,73.0,144.0,50.7,1053.0,7.3,7.3,9.0,4.0,127.2,110
1,*2005,LSU,SEC,JR,QB,12.0,188.0,311.0,60.5,2443.0,7.9,7.5,15.0,9.0,136.6,110
2,*2006,LSU,SEC,JR,QB,13.0,232.0,342.0,67.8,3129.0,9.1,9.7,28.0,8.0,167.0,110
3,Career,LSU,,,,,493.0,797.0,61.9,6625.0,8.3,8.4,52.0,21.0,147.9,110
0,1977,LSU,SEC,,QB,11.0,12.0,36.0,33.3,212.0,5.9,5.1,3.0,2.0,99.2,111
1,1978,LSU,SEC,,QB,11.0,79.0,154.0,51.3,995.0,6.5,4.8,3.0,7.0,102.9,111
2,1979,LSU,SEC,,QB,11.0,55.0,118.0,46.6,874.0,7.4,5.5,2.0,6.0,104.3,111
3,Career,LSU,,,,,146.0,308.0,47.4,2081.0,6.8,5.1,8.0,15.0,103.0,111
0,*1984,Oklahoma,Big 8,,QB,12.0,6.0,20.0,30.0,41.0,2.1,-4.7,0.0,3.0,17.2,112
1,*1985,Oklahoma,Big 8,,QB,12.0,27.0,47.0,57.4,442.0,9.4,8.9,1.0,1.0,139.2,112
2,*1987,UCLA,Pac-10,,QB,12.0,178.0,273.0,65.2,2527.0,9.3,9.2,17.0,8.0,157.6,112
3,*1988,UCLA,Pac-10,,QB,12.0,228.0,354.0,64.4,2771.0,7.8,8.0,24.0,9.0,147.4,112
4,Career,Overall,,,,,439.0,694.0,63.3,5781.0,8.3,8.2,42.0,21.0,147.1,112
5,,Oklahoma,,,,,33.0,67.0,49.3,483.0,7.2,4.8,1.0,4.0,102.8,112
6,,UCLA,,,,,406.0,627.0,64.8,5298.0,8.4,8.5,41.0,17.0,151.9,112
