,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
9,1983*+,34,WAS,QB,7.0,16,16,14-2-0,276,459,60.1,3714,29,6.3,11,2.4,84,8.1,8.3,13.5,232.1,97.0,34,242,6.9,7.04,7.22,2.0,4.0,18,21,,"AP MVP-1, AP OPoY-1, AP1, PB",
10,1984,35,WAS,QB,7.0,16,16,11-5-0,283,477,59.3,3391,24,5.0,13,2.7,80,7.1,6.9,12.0,211.9,86.6,48,341,9.1,5.81,5.61,3.0,3.0,15,21,,,
11,1985,36,WAS,QB,7.0,11,11,6-5-0,167,301,55.5,1774,8,2.7,16,5.3,55,5.9,4.0,10.6,161.3,59.6,37,314,10.9,4.32,2.66,,,3,21,,,
12,Career,Career,,,,167,124,77-47-0,2044,3602,56.7,25206,160,4.4,138,3.8,84,7.0,6.2,12.3,150.9,77.4,340,2757,8.6,5.69,4.93,18.0,22.0,107,21,,,
0,1949,22,DET,qb,28.0,6,4,,62,145,42.8,833,9,6.2,14,9.7,64.0,5.7,2.6,13.4,138.8,42.8,,,,,,1.0,2.0,,22,,,
1,1950,23,CRD,qb,8.0,10,4,2-2-0,47,108,43.5,720,4,3.7,7,6.5,,6.7,4.5,15.3,72.0,51.5,,,,,,,,,22,,,
2,1951,24,CRD,,8.0,3,1,1-0-0,17,29,58.6,244,2,6.9,1,3.4,48.0,8.4,8.2,14.4,81.3,94.6,,,,,,,,,22,,,
3,1952,25,2TM,,,12,7,1-6-0,91,186,48.9,809,3,1.6,17,9.1,42.0,4.3,0.6,8.9,67.4,28.3,,,,,,1.0,1.0,,22,,,
4,,,CRD,,8.0,6,1,0-1-0,5,12,41.7,40,0,0.0,0,0.0,13.0,3.3,3.3,8.0,6.7,50.7,,,,,,,,,22,,,
5,,,DTX,QB,11.0,6,6,1-5-0,86,174,49.4,769,3,1.7,17,9.8,42.0,4.4,0.4,8.9,128.2,27.8,,,,,,1.0,1.0,,22,,,
6,1960,33,DEN,QB,18.0,14,14,4-9-1,248,478,51.9,3038,24,5.0,34,7.1,80.0,6.4,4.2,12.3,217.0,58.9,,,,,,2.0,1.0,10.0,22,,,
7,1961,34,DEN,QB,18.0,14,11,3-8-0,167,344,48.5,1690,10,2.9,21,6.1,87.0,4.9,2.7,10.1,120.7,47.3,,,,,,1.0,1.0,1.0,22,,,
8,1962*,35,DEN,QB,18.0,14,13,6-7-0,240,440,54.5,2917,17,3.9,25,5.7,96.0,6.6,4.8,12.2,208.4,64.4,,,,,,3.0,3.0,9.0,22,,PB,
9,1963,36,DEN,,18.0,2,2,0-2-0,7,15,46.7,31,0,0.0,5,33.3,14.0,2.1,-12.9,4.4,15.5,13.9,0.0,0.0,0.0,2.07,-12.93,,,0.0,22,,,
10,Career,Career,,,,75,56,17-34-1,879,1745,50.4,10282,69,4.0,124,7.1,96.0,5.9,3.5,11.7,137.1,52.2,0.0,0.0,0.0,5.89,3.49,8.0,8.0,20.0,22,,,
11,4 yrs,4 yrs,DEN,,,44,40,13-26-1,662,1277,51.8,7676,51,4.0,85,6.7,96.0,6.0,3.8,11.6,174.5,55.9,0.0,0.0,0.0,2.07,-12.93,6.0,5.0,20.0,22,,,
12,3 yrs,3 yrs,CRD,,,19,6,3-3-0,69,149,46.3,1004,6,4.0,8,5.4,48.0,6.7,5.1,14.6,52.8,59.8,,,,,,,,,22,,,
13,1 yr,1 yr,DET,,,6,4,,62,145,42.8,833,9,6.2,14,9.7,64.0,5.7,2.6,13.4,138.8,42.8,,,,,,1.0,2.0,,22,,,
14,1 yr,1 yr,DTX,,,6,6,1-5-0,86,174,49.4,769,3,1.7,17,9.8,42.0,4.4,0.4,8.9,128.2,27.8,,,,,,1.0,1.0,,22,,,
0,1951,21,CHI,,9.0,8,0,,14,33,42.4,146,1,3.0,2,6.1,19,4.4,2.3,10.4,18.3,40.7,,,,,,,,,23,,,
1,1952,22,CHI,QB,9.0,11,7,3-4-0,45,87,51.7,579,6,6.9,5,5.7,56,6.7,5.4,12.9,52.6,72.0,,,,,,,,,23,,,
2,1955,25,CHI,,9.0,10,0,,15,40,37.5,256,3,7.5,5,12.5,37,6.4,2.3,17.1,25.6,45.4,,,,,,,,,23,,,
3,Career,Career,,,,29,7,3-4-0,74,160,46.3,981,10,6.3,12,7.5,56,6.1,4.0,13.3,33.8,55.8,,,,,,,,,23,,,
0,2013,23,PHI,,2.0,3,0,,30,49,61.2,300,0,0.0,4,8.2,26,6.1,2.4,10.0,100.0,44.6,3,24,5.8,5.31,1.85,,,1,24,17.0,,18.9
1,2014,24,PHI,,2.0,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,24,,,0.0
2,2016,26,CHI,QB,12.0,7,6,1-5-0,129,216,59.7,1611,8,3.7,14,6.5,37,7.5,5.3,12.5,230.1,68.3,6,43,2.7,7.06,4.95,,,1,24,90.0,,33.6
3,2018,28,BUF,,5.0,1,1,1-0-0,15,25,60.0,232,2,8.0,0,0.0,47,9.3,10.9,15.5,232.0,117.4,1,8,3.8,8.62,10.15,,,1,24,12.0,,85.8
4,2019,29,BUF,,5.0,2,0,,27,51,52.9,359,0,0.0,3,5.9,41,7.0,4.4,13.3,179.5,51.0,2,10,3.8,6.58,4.04,,,1,24,15.0,,10.3
5,2020,30,BUF,,5.0,5,0,,11,21,52.4,197,1,4.8,1,4.8,56,9.4,8.2,17.9,39.4,80.9,1,7,4.5,8.64,7.5,,,1,24,9.0,,27.4
6,Career,Career,,,,19,7,2-5-0,212,363,58.4,2699,11,3.0,22,6.1,56,7.4,5.3,12.7,142.1,66.6,13,92,3.5,6.93,4.89,,,5,24,143.0,,
7,3 yrs,3 yrs,BUF,,,8,1,1-0-0,53,97,54.6,788,3,3.1,4,4.1,56,8.1,6.9,14.9,98.5,74.6,4,25,4.0,7.55,6.37,,,3,24,36.0,,
8,2 yrs,2 yrs,PHI,,,4,0,,30,50,60.0,300,0,0.0,4,8.0,26,6.0,2.4,10.0,75.0,43.7,3,24,5.7,5.21,1.81,,,1,24,17.0,,
9,1 yr,1 yr,CHI,,,7,6,1-5-0,129,216,59.7,1611,8,3.7,14,6.5,37,7.5,5.3,12.5,230.1,68.3,6,43,2.7,7.06,4.95,,,1,24,90.0,,
0,1964,22,KAN,,10.0,14,0,,4,9,44.4,50,1,11.1,2,22.2,22,5.6,-2.2,12.5,3.6,59.7,0,0,0.0,5.56,-2.22,,,1,25,,,
1,1965,23,KAN,,10.0,14,2,1-1-0,36,89,40.4,632,1,1.1,6,6.7,73,7.1,4.3,17.6,45.1,41.0,0,0,0.0,7.1,4.29,,,3,25,,,
2,1966,24,KAN,,10.0,14,0,,39,90,43.3,578,4,4.4,4,4.4,77,6.4,5.3,14.8,41.3,61.2,0,0,0.0,6.42,5.31,,,4,25,,,
3,1967,25,2TM,,,11,9,7-2-0,94,231,40.7,1114,9,3.9,14,6.1,43,4.8,2.9,11.9,101.3,43.8,0,0,0.0,4.82,2.87,,,3,25,,,
4,,,KAN,,10.0,1,0,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,25,,,
5,,,HOU,QB,11.0,10,9,7-2-0,94,229,41.0,1114,9,3.9,14,6.1,43,4.9,2.9,11.9,111.4,44.2,0,0,0.0,4.86,2.9,,,3,25,,,
6,1968,26,HOU,QB,11.0,9,7,3-4-0,105,223,47.1,1559,7,3.1,16,7.2,66,7.0,4.4,14.8,173.2,51.0,0,0,0.0,6.99,4.39,,,5,25,,,
7,1969,27,HOU,QB,11.0,12,10,5-5-0,180,370,48.6,2455,10,2.7,21,5.7,86,6.6,4.6,13.6,204.6,55.6,22,205,5.6,5.74,3.84,2.0,1.0,7,25,,,
8,1970,28,STL,,10.0,4,0,,7,17,41.2,114,2,11.8,1,5.9,58,6.7,6.4,16.3,28.5,79.0,0,0,0.0,6.71,6.41,,,1,25,,,
9,1971,29,STL,qb,10.0,9,5,2-3-0,60,141,42.6,1030,6,4.3,12,8.5,80,7.3,4.3,17.2,114.4,46.7,6,46,4.1,6.69,3.84,,,4,25,,,
10,1972,30,RAM,,12.0,14,2,0-1-1,19,48,39.6,255,1,2.1,7,14.6,33,5.3,-0.8,13.4,18.2,24.6,4,34,7.7,4.25,-1.42,,,1,25,,,
11,1973,31,KAN,,11.0,9,0,,31,64,48.4,389,2,3.1,1,1.6,44,6.1,6.0,12.5,43.2,71.7,9,68,12.3,4.4,4.33,,,2,25,,,
12,Career,Career,,,,110,35,18-16-1,575,1282,44.9,8176,43,3.4,84,6.6,86,6.4,4.1,14.2,74.3,49.9,41,353,3.1,5.91,3.71,2.0,1.0,31,25,,,
13,5 yrs,5 yrs,KAN,,,52,2,1-1-0,110,254,43.3,1649,8,3.1,13,5.1,77,6.5,4.8,15.0,31.7,54.4,9,68,3.4,6.01,4.4,,,10,25,,,
14,3 yrs,3 yrs,HOU,,,31,26,15-11-0,379,822,46.1,5128,26,3.2,51,6.2,86,6.2,4.1,13.5,165.4,51.2,22,205,2.6,5.83,3.73,2.0,1.0,15,25,,,
15,2 yrs,2 yrs,STL,,,13,5,2-3-0,67,158,42.4,1144,8,5.1,13,8.2,80,7.2,4.6,17.1,88.0,50.2,6,46,3.7,6.7,4.1,,,5,25,,,
16,1 yr,1 yr,RAM,,,14,2,0-1-1,19,48,39.6,255,1,2.1,7,14.6,33,5.3,-0.8,13.4,18.2,24.6,4,34,7.7,4.25,-1.42,,,1,25,,,
0,1953,23,RAM,,10.0,8,0,,14,32,43.8,169,0,0.0,3,9.4,30,5.3,1.1,12.1,21.1,21.5,,,,,,,,,26,,,
1,1956,26,RAM,,10.0,3,0,,10,23,43.5,130,1,4.3,3,13.0,34,5.7,0.7,13.0,43.3,36.8,,,,,,,,,26,,,
2,1957,27,WAS,,10.0,7,0,,6,28,21.4,103,0,0.0,3,10.7,35,3.7,-1.1,17.2,14.7,2.8,,,,,,,,,26,,,
3,1958,28,2TM,,,4,0,,8,23,34.8,166,1,4.3,1,4.3,37,7.2,6.1,20.8,41.5,57.5,,,,,,,,,26,,,
