,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
14,1 yr,1 yr,CIN,,,9,3,0-3-0,78,159,49.1,832,5,3.1,2,1.3,37,5.2,5.3,10.7,92.4,70.0,13,87,7.6,4.33,4.39,,,2,192,0.0,,
0,1987,23,KAN,,1.0,3,2,0-2-0,32,57,56.1,315,1,1.8,1,1.8,23,5.5,5.1,9.8,105.0,70.4,6,53,9.5,4.16,3.76,,,1,193,,,
1,Career,Career,,,,3,2,0-2-0,32,57,56.1,315,1,1.8,1,1.8,23,5.5,5.1,9.8,105.0,70.4,6,53,9.5,4.16,3.76,,,1,193,,,
0,1979,23,NWE,,12.0,13,0,,1,1,100.0,10,0,0.0,0,0.0,10,10.0,10.0,10.0,0.8,108.3,0,0,0.0,10.0,10.0,,,0,194,,,
1,1980,24,NWE,,12.0,16,4,3-1-0,63,105,60.0,885,9,8.6,5,4.8,40,8.4,8.0,14.0,55.3,95.9,8,62,7.1,7.28,6.88,1.0,1.0,4,194,,,
2,1981,25,NWE,QB,12.0,16,8,1-7-0,115,219,52.5,1633,5,2.3,13,5.9,65,7.5,5.2,14.2,102.1,59.8,24,165,9.9,6.04,4.05,,,5,194,,,
3,1982,26,NWE,,12.0,7,3,1-2-0,27,60,45.0,490,5,8.3,5,8.3,75,8.2,6.1,18.1,70.0,66.7,7,86,10.4,6.03,4.16,,,3,194,,,
4,1983,27,SFO,,6.0,5,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,194,,,
5,1984,28,SFO,,6.0,8,1,1-0-0,33,61,54.1,449,4,6.6,0,0.0,51,7.4,8.7,13.6,56.1,99.7,5,40,7.6,6.2,7.41,1.0,1.0,2,194,,,
6,1985,29,SFO,,6.0,16,1,1-0-0,28,54,51.9,334,1,1.9,1,1.9,41,6.2,5.7,11.9,20.9,69.5,7,53,11.5,4.61,4.2,,,1,194,,,
7,1986,30,PHI,,6.0,10,2,1-1-0,28,58,48.3,397,2,3.4,4,6.9,49,6.8,4.4,14.2,39.7,53.6,9,56,13.4,5.09,3.0,1.0,1.0,1,194,,,
8,1987,31,PHI,,6.0,3,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,194,,,
9,1988,32,PHI,,6.0,5,0,,7,16,43.8,101,1,6.3,1,6.3,42,6.3,4.8,14.4,20.2,59.6,0,0,0.0,6.31,4.75,,,0,194,,,
10,1989,33,PHI,,6.0,9,0,,3,5,60.0,33,1,20.0,1,20.0,13,6.6,1.6,11.0,3.7,79.6,0,0,0.0,6.6,1.6,,,0,194,,,
11,1990,34,NYG,,,0,0,,0,0,,0,0,,0,,0,,,,,,0,0,,,,,,0,194,,,
12,1991,35,NYG,,6.0,4,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,194,,,
13,Career,Career,,,,112,19,8-11-0,305,579,52.7,4332,28,4.8,30,5.2,75,7.5,6.1,14.2,38.7,71.7,60,462,9.4,6.06,4.82,3.0,3.0,16,194,,,
14,4 yrs,4 yrs,NWE,,,52,15,5-10-0,206,385,53.5,3018,19,4.9,23,6.0,75,7.8,6.1,14.7,58.0,70.9,39,313,9.2,6.38,4.83,1.0,1.0,12,194,,,
15,4 yrs,4 yrs,PHI,,,27,2,1-1-0,38,79,48.1,531,4,5.1,6,7.6,49,6.7,4.3,14.0,19.7,55.4,9,56,10.2,5.4,3.24,1.0,1.0,1,194,,,
16,3 yrs,3 yrs,SFO,,,29,2,2-0-0,61,115,53.0,783,5,4.3,1,0.9,51,6.8,7.3,12.8,27.0,85.5,12,93,9.4,5.43,5.87,1.0,1.0,3,194,,,
17,2 yrs,2 yrs,NYG,,,4,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,194,,,
0,2020,24,DAL,,7.0,3,1,0-1-0,23,43,53.5,219,0,0,0,0,32,5.1,5.1,9.5,73.0,67.9,7,73,14,2.92,2.92,,,1,195,11,,10.2
1,Career,Career,,,,3,1,0-1-0,23,43,53.5,219,0,0,0,0,32,5.1,5.1,9.5,73.0,67.9,7,73,14,2.92,2.92,,,1,195,11,,
0,2008,23,BAL,QB,5.0,16,16,11-5-0,257,428,60.0,2971,14,3.3,12,2.8,70,6.9,6.3,11.6,185.7,80.3,32,276,7.0,5.86,5.29,1.0,1.0,12,196,143,,47.1
1,2009,24,BAL,QB,5.0,16,16,9-7-0,315,499,63.1,3613,21,4.2,12,2.4,72,7.2,7.0,11.5,225.8,88.9,36,218,6.7,6.35,6.12,1.0,2.0,13,196,184,,58.5
2,2010,25,BAL,QB,5.0,16,16,12-4-0,306,489,62.6,3622,25,5.1,10,2.0,67,7.4,7.5,11.8,226.4,93.6,40,294,7.6,6.29,6.39,2.0,4.0,12,196,174,,59.1
3,2011,26,BAL,QB,5.0,16,16,12-4-0,312,542,57.6,3610,20,3.7,12,2.2,74,6.7,6.4,11.6,225.6,80.9,31,203,5.4,5.95,5.7,2.0,3.0,12,196,180,,63.7
4,2012,27,BAL,QB,5.0,16,16,10-6-0,317,531,59.7,3817,22,4.1,10,1.9,61,7.2,7.2,12.0,238.6,87.7,35,227,6.2,6.34,6.33,3.0,3.0,13,196,178,,51.1
5,2013,28,BAL,QB,5.0,16,16,8-8-0,362,614,59.0,3912,19,3.1,22,3.6,74,6.4,5.4,10.8,244.5,73.1,48,324,7.3,5.42,4.5,2.0,4.0,8,196,191,,48.0
6,2014,29,BAL,QB,5.0,16,16,10-6-0,344,554,62.1,3986,27,4.9,12,2.2,80,7.2,7.2,11.6,249.1,91.0,19,167,3.3,6.66,6.66,2.0,2.0,13,196,194,,68.2
7,2015,30,BAL,QB,5.0,10,10,3-7-0,266,413,64.4,2791,14,3.4,12,2.9,50,6.8,6.1,10.5,279.1,83.1,16,124,3.7,6.22,5.61,3.0,3.0,5,196,125,,50.8
8,2016,31,BAL,QB,5.0,16,16,8-8-0,436,672,64.9,4317,20,3.0,15,2.2,95,6.4,6.0,9.9,269.8,83.5,33,243,4.7,5.78,5.39,2.0,2.0,9,196,204,,52.5
9,2017,32,BAL,QB,5.0,16,16,9-7-0,352,549,64.1,3141,18,3.3,13,2.4,66,5.7,5.3,8.9,196.3,80.4,27,205,4.7,5.1,4.71,,,9,196,163,,46.7
10,2018,33,BAL,QB,5.0,9,9,4-5-0,232,379,61.2,2465,12,3.2,6,1.6,71,6.5,6.4,10.6,273.9,84.2,16,79,4.1,6.04,5.96,,,7,196,119,,54.8
11,2019,34,DEN,QB,5.0,8,8,2-6-0,171,262,65.3,1822,6,2.3,5,1.9,70,7.0,6.6,10.7,227.8,85.1,26,194,9.0,5.65,5.29,,,5,196,86,,50.8
12,2020,35,NYJ,,5.0,5,4,0-4-0,74,134,55.2,864,6,4.5,3,2.2,52,6.4,6.3,11.7,172.8,80.6,7,69,5.0,5.64,5.53,,,2,196,36,,50.3
13,2021,36,NYJ,qb,19.0,2,1,0-1-0,27,42,64.3,338,3,7.1,0,0.0,62,8.0,9.5,12.5,169.0,113.0,2,13,4.5,7.39,8.75,,,1,196,14,,43.5
14,Career,Career,,,,178,176,98-78-0,3771,6108,61.7,41269,227,3.7,144,2.4,95,6.8,6.4,10.9,231.8,84.2,368,2636,5.7,5.97,5.67,18.0,24.0,121,196,1991,,
15,11 yrs,11 yrs,BAL,,,163,163,96-67-0,3499,5670,61.7,38245,212,3.7,136,2.4,95,6.7,6.4,10.9,234.6,84.1,333,2360,5.5,5.98,5.66,18.0,24.0,113,196,1855,,
16,2 yrs,2 yrs,NYJ,,,7,5,0-5-0,101,176,57.4,1202,9,5.1,3,1.7,62,6.8,7.1,11.9,171.7,88.3,9,82,4.9,6.05,6.3,,,3,196,50,,
17,1 yr,1 yr,DEN,,,8,8,2-6-0,171,262,65.3,1822,6,2.3,5,1.9,70,7.0,6.6,10.7,227.8,85.1,26,194,9.0,5.65,5.29,,,5,196,86,,
0,1999,25,PIT,,7.0,1,0.0,,1,1,100,8,0,0,0,0,8,8.0,8.0,8.0,8.0,100.0,0,0,0,8.0,8.0,,,,197,,,
1,Career,Career,,,,1,,,1,1,100,8,0,0,0,0,8,8.0,8.0,8.0,8.0,100.0,0,0,0,8.0,8.0,,,,197,0.0,,
0,2000,25,SEA,,8.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,198,,,
1,2001,26,CAR,,9.0,3,1,0-1-0,17,30,56.7,133,1,3.3,3,10.0,28,4.4,0.6,7.8,44.3,39.3,3,24,9.1,3.3,-0.18,,,0,198,5.0,,
2,Career,Career,,,,5,1,0-1-0,17,30,56.7,133,1,3.3,3,10.0,28,4.4,0.6,7.8,26.6,39.3,3,24,9.1,3.3,-0.18,,,0,198,5.0,,
3,1 yr,1 yr,CAR,,,3,1,0-1-0,17,30,56.7,133,1,3.3,3,10.0,28,4.4,0.6,7.8,44.3,39.3,3,24,9.1,3.3,-0.18,,,0,198,5.0,,
4,1 yr,1 yr,SEA,,,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,198,0.0,,
0,1983*,22,MIA,QB,13.0,11,9,7-2-0,173,296,58.4,2210,20,6.8,6,2.0,85,7.5,7.9,12.8,200.9,96.0,10,80,3.3,6.96,7.39,1,2,10,199,,"AP MVP-3, AP OPoY-3, AP ORoY-2, AP2, PB",
1,1984*+,23,MIA,QB,13.0,16,16,14-2-0,362,564,64.2,5084,48,8.5,17,3.0,80,9.0,9.4,14.0,317.8,108.9,13,120,2.3,8.6,8.94,2,3,21,199,,"AP MVP-1, AP OPoY-1, AP1, PB",
2,1985*+,24,MIA,QB,13.0,16,16,12-4-0,336,567,59.3,4137,30,5.3,21,3.7,73,7.3,6.7,12.3,258.6,84.1,18,157,3.1,6.8,6.21,3,5,15,199,,"AP1, PB",
3,1986*+,25,MIA,QB,13.0,16,16,8-8-0,378,623,60.7,4746,44,7.1,23,3.7,85,7.6,7.4,12.6,296.6,92.5,17,119,2.7,7.23,6.99,1,2,19,199,,"AP MVP-3, AP OPoY-2, AP1, PB",
4,1987*,26,MIA,QB,13.0,12,12,7-5-0,263,444,59.2,3245,26,5.9,13,2.9,59,7.3,7.2,12.3,270.4,89.2,9,77,2.0,6.99,6.85,2,2,12,199,,PB,
5,1988,27,MIA,QB,13.0,16,16,6-10-0,354,606,58.4,4434,28,4.6,23,3.8,80,7.3,6.5,12.5,277.1,80.8,6,31,1.0,7.19,6.42,1,2,14,199,,AP OPoY-4,
6,1989,28,MIA,QB,13.0,16,16,8-8-0,308,550,56.0,3997,24,4.4,22,4.0,78,7.3,6.3,13.0,249.8,76.9,10,86,1.8,6.98,6.07,2,4,12,199,,,
7,1990,29,MIA,QB,13.0,16,16,12-4-0,306,531,57.6,3563,21,4.0,11,2.1,69,6.7,6.6,11.6,222.7,82.6,15,90,2.7,6.36,6.22,3,3,12,199,,,
8,1991*,30,MIA,QB,13.0,16,16,8-8-0,318,549,57.9,3970,25,4.6,13,2.4,54,7.2,7.1,12.5,248.1,85.8,27,182,4.7,6.58,6.43,1,3,15,199,,PB,
9,1992*,31,MIA,QB,13.0,16,16,11-5-0,330,554,59.6,4116,24,4.3,16,2.9,62,7.4,7.0,12.5,257.3,85.1,28,173,4.8,6.77,6.36,6,6,15,199,,PB,
10,1993,32,MIA,qb,13.0,5,5,4-1-0,91,150,60.7,1218,8,5.3,3,2.0,80,8.1,8.3,13.4,243.6,95.9,7,42,4.5,7.49,7.65,1,1,5,199,,,
11,1994*,33,MIA,QB,13.0,16,16,10-6-0,385,615,62.6,4453,30,4.9,17,2.8,64,7.2,7.0,11.6,278.3,89.2,18,113,2.8,6.86,6.6,4,4,15,199,214.0,"AP2, PB",
12,1995*,34,MIA,QB,13.0,14,14,9-5-0,309,482,64.1,3668,24,5.0,15,3.1,67,7.6,7.2,11.9,262.0,90.8,22,153,4.4,6.97,6.59,2,3,12,199,185.0,"AP2, PB",
13,1996,35,MIA,QB,13.0,13,13,7-6-0,221,373,59.2,2795,17,4.6,9,2.4,74,7.5,7.3,12.6,215.0,87.8,18,131,4.6,6.81,6.65,0,1,9,199,121.0,,
14,1997,36,MIA,QB,13.0,16,16,9-7-0,319,548,58.2,3780,16,2.9,11,2.0,55,6.9,6.6,11.8,236.3,80.7,20,132,3.5,6.42,6.11,1,3,13,199,188.0,,
15,1998,37,MIA,QB,13.0,16,16,10-6-0,310,537,57.7,3497,23,4.3,15,2.8,61,6.5,6.1,11.3,218.6,80.0,23,178,4.1,5.93,5.54,1,1,10,199,173.0,,
16,1999,38,MIA,QB,13.0,11,11,5-6-0,204,369,55.3,2448,12,3.3,17,4.6,62,6.6,5.2,12.0,222.5,67.4,9,66,2.4,6.3,4.91,2,2,7,199,122.0,,
17,Career,Career,,,,242,240,147-93-0,4967,8358,59.4,61361,420,5.0,252,3.0,85,7.3,7.0,12.4,253.6,86.4,270,1930,3.1,6.89,6.55,33,47,216,199,1003.0,,
0,2010,27,KAN,,4.0,2,0,,4,6,66.7,35,0,0.0,0,0.0,18,5.8,5.8,8.8,17.5,81.9,2,10,25.0,3.13,3.13,,,0,200,2,,82.0
1,2011,28,KAN,,4.0,6,4,1-3-0,80,134,59.7,796,2,1.5,7,5.2,38,5.9,3.9,10.0,132.7,59.8,11,83,7.6,4.92,3.02,,,2,200,40,,32.4
2,Career,Career,,,,8,4,1-3-0,84,140,60.0,831,2,1.4,7,5.0,38,5.9,4.0,9.9,103.9,60.7,13,93,8.5,4.82,3.03,,,2,200,42,,
0,2017,23,BUF,,2.0,4,2,1-1-0,24,49,49.0,252,2,4.1,5,10.2,21,5.1,1.4,10.5,63.0,38.4,1,5,2.0,4.94,1.24,,,1,201,15,,12.4
1,2018,24,BUF,,2.0,4,2,0-2-0,44,81,54.3,296,1,1.2,7,8.6,26,3.7,0.0,6.7,74.0,30.7,7,34,8.0,2.98,-0.38,,,1,201,13,,8.0
2,2020,26,LVR,,3.0,1,0,,3,5,60.0,25,0,0.0,0,0.0,12,5.0,5.0,8.3,25.0,72.9,2,16,28.6,1.29,1.29,,,0,201,1,,24.3
3,2021,27,LVR,,3.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,201,0,,1.3
4,Career,Career,,,,10,4,1-3-0,71,135,52.6,573,3,2.2,12,8.9,26,4.2,0.7,8.1,57.3,34.0,10,55,6.9,3.57,0.26,,,2,201,29,,
5,2 yrs,2 yrs,BUF,,,8,4,1-3-0,68,130,52.3,548,3,2.3,12,9.2,26,4.2,0.5,8.1,68.5,32.5,8,39,5.8,3.69,0.21,,,2,201,28,,
6,2 yrs,2 yrs,LVR,,,2,0,,3,5,60.0,25,0,0.0,0,0.0,12,5.0,5.0,8.3,12.5,72.9,2,16,28.6,1.29,1.29,,,0,201,1,,
0,2014,24,HOU,,3.0,2,0,,10,19,52.6,127,0,0.0,1,5.3,35,6.7,4.3,12.7,63.5,51.9,1,5,5.0,6.1,3.85,,,0,202,6,,18.4
1,2016,26,HOU,,3.0,3,2,1-1-0,46,73,63.0,461,0,0.0,0,0.0,32,6.3,6.3,10.0,153.7,80.9,5,36,6.4,5.45,5.45,2.0,2.0,1,202,20,,57.2
2,2017,27,HOU,QB,3.0,8,7,1-6-0,125,223,56.1,1412,5,2.2,6,2.7,57,6.3,5.6,11.3,176.5,71.4,21,159,8.6,5.14,4.44,1.0,1.0,2,202,70,,41.7
3,Career,Career,,,,13,9,2-7-0,181,315,57.5,2000,5,1.6,7,2.2,57,6.3,5.7,11.0,153.8,72.5,27,200,7.9,5.26,4.63,3.0,3.0,3,202,96,,
0,1995,25,BUF,,10.0,1,0,,10,18,55.6,106,2,11.1,0,0.0,19,5.9,8.1,10.6,106.0,110.0,0,0,0.0,5.89,8.11,,,0,203,7.0,,
1,1996,26,BUF,,10.0,1,0,,2,5,40.0,9,0,0.0,0,0.0,5,1.8,1.8,4.5,9.0,47.9,0,0,0.0,1.8,1.8,,,0,203,,,
2,1997,27,BUF,,10.0,6,3,1-2-0,60,124,48.4,684,2,1.6,10,8.1,39,5.5,2.2,11.4,114.0,37.2,4,33,3.1,5.09,1.88,0.0,1.0,2,203,30.0,,
3,1998,28,BUF,,10.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,203,,,
4,1999,29,BUF,,10.0,1,0,,1,1,100.0,9,0,0.0,0,0.0,9,9.0,9.0,9.0,9.0,104.2,0,0,0.0,9.0,9.0,,,0,203,1.0,,
5,2000,30,BUF,,10.0,1,0,,4,8,50.0,67,0,0.0,0,0.0,36,8.4,8.4,16.8,67.0,78.6,0,0,0.0,8.38,8.38,0.0,1.0,0,203,2.0,,
6,2001,31,BUF,qb,10.0,12,8,2-6-0,178,307,58.0,2056,12,3.9,11,3.6,80,6.7,5.9,11.6,171.3,76.4,14,73,4.4,6.18,5.38,1.0,1.0,5,203,99.0,,
7,2002,32,BUF,,10.0,2,0,,2,2,100.0,5,0,0.0,0,0.0,4,2.5,2.5,2.5,2.5,79.2,0,0,0.0,2.5,2.5,,,0,203,,,
8,2003,33,BUF,,10.0,6,0,,5,12,41.7,49,0,0.0,3,25.0,14,4.1,-7.2,9.8,8.2,14.2,1,7,7.7,3.23,-7.15,,,0,203,1.0,,
9,Career,Career,,,,31,11,3-8-0,262,477,54.9,2985,16,3.4,24,5.0,80,6.3,4.7,11.4,96.3,64.1,19,113,3.8,5.79,4.26,1.0,3.0,7,203,140.0,,
0,2018,27,CAR,,3.0,1,0,,2,3,66.7,40,0,0.0,0,0.0,31,13.3,13.3,20.0,40.0,109.7,1,5,25.0,8.75,8.75,,,0,205,1.0,,40.4
1,2019,28,CLE,,3.0,5,0,,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,205,,,22.8
2,2020,29,DAL,,3.0,1,1,0-1-0,21,38,55.3,243,1,2.6,1,2.6,32,6.4,5.7,11.6,243.0,72.6,2,23,5.0,5.5,4.88,,,1,205,10.0,,56.8
3,2021,30,WAS,qb,19.0,1,1,0-1-0,20,31,64.5,194,0,0.0,0,0.0,46,6.3,6.3,9.7,194.0,81.9,2,20,6.1,5.27,5.27,,,1,205,8.0,,39.6
4,Career,Career,,,,8,2,0-2-0,43,75,57.3,477,1,1.3,1,1.3,46,6.4,6.0,11.1,59.6,75.2,5,48,6.3,5.36,5.05,,,2,205,19.0,,
5,1 yr,1 yr,CAR,,,1,0,,2,3,66.7,40,0,0.0,0,0.0,31,13.3,13.3,20.0,40.0,109.7,1,5,25.0,8.75,8.75,,,0,205,1.0,,
6,1 yr,1 yr,CLE,,,5,0,,0,3,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,205,0.0,,
7,1 yr,1 yr,DAL,,,1,1,0-1-0,21,38,55.3,243,1,2.6,1,2.6,32,6.4,5.7,11.6,243.0,72.6,2,23,5.0,5.5,4.88,,,1,205,10.0,,
8,1 yr,1 yr,WAS,,,1,1,0-1-0,20,31,64.5,194,0,0.0,0,0.0,46,6.3,6.3,9.7,194.0,81.9,2,20,6.1,5.27,5.27,,,1,205,8.0,,
0,1973,22,STL,,12.0,14,2,1-1-0,32,73,43.8,369,1,1.4,5,6.8,80,5.1,2.2,11.5,26.4,35.7,5,41,6.4,4.21,1.58,,,3,206,,,
1,Career,Career,,,,14,2,1-1-0,32,73,43.8,369,1,1.4,5,6.8,80,5.1,2.2,11.5,26.4,35.7,5,41,6.4,4.21,1.58,,,3,206,,,
0,1948,22,CHI,,22.0,11,1,,16,52,30.8,232,3,5.8,2,3.8,35,4.5,3.9,14.5,21.1,49.5,,,,,,0.0,0.0,,207,,,
1,1949,23,NYY,QB,22.0,12,12,,155,299,51.8,1796,9,3.0,18,6.0,69,6.0,3.9,11.6,149.7,55.3,,,,,,2.0,1.0,,207,,,
2,1950,24,DET,QB,22.0,12,12,6-6-0,152,336,45.2,2323,16,4.8,18,5.4,82,6.9,5.5,15.3,193.6,62.1,,,,,,1.0,1.0,,207,,,
3,1951*,25,DET,QB,22.0,12,12,7-4-1,152,332,45.8,2403,26,7.8,23,6.9,63,7.2,5.7,15.8,200.3,67.6,,,,,,1.0,1.0,,207,,PB,
4,1952*+,26,DET,QB,22.0,12,11,9-2-0,139,287,48.4,1999,19,6.6,20,7.0,77,7.0,5.2,14.4,166.6,64.5,,,,,,,,,207,,"AP1, PB",
5,1953*,27,DET,QB,22.0,12,11,9-2-0,125,273,45.8,2088,16,5.9,21,7.7,97,7.6,5.4,16.7,174.0,59.6,,,,,,2.0,2.0,,207,,PB,
6,1954,28,DET,QB,22.0,12,8,6-1-1,135,246,54.9,1818,14,5.7,12,4.9,55,7.4,6.3,13.5,151.5,77.3,,,,,,3.0,2.0,,207,,"UPI MVP-4, AP2",
7,1955,29,DET,QB,22.0,12,10,3-7-0,143,270,53.0,1830,11,4.1,17,6.3,77,6.8,4.8,12.8,152.5,61.8,,,,,,1.0,2.0,,207,,,
8,1956*+,30,DET,QB,22.0,12,12,9-3-0,129,244,52.9,1909,9,3.7,17,7.0,70,7.8,5.4,14.8,159.1,62.0,,,,,,0.0,1.0,,207,,"UPI MVP-2, AP1, PB",
9,1957,31,DET,QB,22.0,11,7,4-3-0,87,179,48.6,1169,6,3.4,12,6.7,65,6.5,4.2,13.4,106.3,53.0,,,,,,1.0,1.0,,207,,,
10,1958*,32,2TM,,,12,11,7-3-1,145,294,49.3,2510,14,4.8,12,4.1,78,8.5,7.7,17.3,209.2,77.6,,,,,,1.0,2.0,,207,,"AP MVP-3, UPI MVP-3, AP2, PB",
11,*,,DET,,22.0,2,1,0-1-0,12,26,46.2,171,1,3.8,2,7.7,0,6.6,3.9,14.3,85.5,48.7,,,,,,,,,207,,"AP MVP-3, UPI MVP-3, AP2, PB",
12,*,,PIT,QB,22.0,10,10,7-2-1,133,268,49.6,2339,13,4.9,10,3.7,78,8.7,8.0,17.6,233.9,80.4,,,,,,1.0,2.0,,207,,"AP MVP-3, UPI MVP-3, AP2, PB",
13,1959*,33,PIT,QB,22.0,12,12,6-5-1,142,297,47.8,1986,20,6.7,21,7.1,48,6.7,4.9,14.0,165.5,62.8,,,,,,3.0,2.0,,207,,"UPI MVP-3, AP2, PB",
14,1960,34,PIT,QB,22.0,12,9,5-4-0,103,209,49.3,1814,13,6.2,17,8.1,70,8.7,6.3,17.6,151.2,66.2,,,,,,1.0,2.0,10.0,207,,,
15,1961,35,PIT,qb,22.0,8,6,2-4-0,75,149,50.3,1205,11,7.4,16,10.7,53,8.1,4.7,16.1,150.6,62.8,,,,,,,,4.0,207,,,
16,1962,36,PIT,QB,22.0,13,11,7-4-0,116,233,49.8,1686,9,3.9,17,7.3,62,7.2,4.7,14.5,129.7,56.2,,,,,,2.0,2.0,7.0,207,,,
17,Career,Career,,,,175,145,80-48-4,1814,3700,49.0,26768,196,5.3,243,6.6,97,7.2,5.3,14.8,153.0,63.4,,,,,,18.0,19.0,21.0,207,,,
18,9 yrs,9 yrs,DET,,,97,84,53-29-2,1074,2193,49.0,15710,118,5.4,142,6.5,97,7.2,5.3,14.6,162.0,63.7,,,,,,9.0,10.0,,207,,,
19,5 yrs,5 yrs,PIT,,,55,48,27-19-2,569,1156,49.2,9030,66,5.7,81,7.0,78,7.8,5.8,15.9,164.2,65.5,,,,,,7.0,8.0,21.0,207,,,
20,1 yr,1 yr,CHI,,,11,1,,16,52,30.8,232,3,5.8,2,3.8,35,4.5,3.9,14.5,21.1,49.5,,,,,,0.0,0.0,,207,,,
21,1 yr,1 yr,NYY,,,12,12,,155,299,51.8,1796,9,3.0,18,6.0,69,6.0,3.9,11.6,149.7,55.3,,,,,,2.0,1.0,,207,,,
0,2010,24,CLE,QB,12.0,8,8,2-6-0,135,222,60.8,1576,6,2.7,9,4.1,47,7.1,5.8,11.7,197.0,74.5,23,132,9.4,5.89,4.73,,,4,208,77.0,,52.8
1,2011,25,CLE,QB,12.0,13,13,4-9-0,265,463,57.2,2733,14,3.0,11,2.4,56,5.9,5.4,10.3,210.2,74.6,32,173,6.5,5.17,4.74,1.0,3.0,5,208,142.0,,45.9
2,2012,26,CLE,,12.0,3,0,,9,17,52.9,79,1,5.9,0,0.0,21,4.6,5.8,8.8,26.3,85.2,4,25,19.0,2.57,3.52,,,0,208,5.0,,17.8
3,2013,27,SFO,,2.0,4,0,,1,1,100.0,13,0,0.0,0,0.0,13,13.0,13.0,13.0,3.3,118.7,0,0,0.0,13.0,13.0,,,0,208,1.0,,4.1
4,2014,28,WAS,,16.0,5,4,1-3-0,91,128,71.1,1057,4,3.1,3,2.3,70,8.3,7.8,11.6,211.4,96.4,17,117,11.7,6.48,6.1,1.0,2.0,3,208,44.0,,36.4
5,2015,29,WAS,,16.0,2,0,,7,11,63.6,128,1,9.1,0,0.0,71,11.6,13.5,18.3,64.0,133.9,1,13,8.3,9.58,11.25,,,0,208,4.0,,42.5
6,2017,31,WAS,,12.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,208,,,
7,2018,32,WAS,,12.0,3,2,0-2-0,34,54,63.0,372,3,5.6,3,5.6,53,6.9,5.5,10.9,124.0,78.6,6,36,10.0,5.6,4.35,,,1,208,17.0,,38.8
8,2019,33,WAS,/qb,12.0,1,1,0-1-0,18,27,66.7,122,0,0.0,1,3.7,22,4.5,2.9,6.8,122.0,61.0,6,44,18.2,2.36,1.0,,,0,208,5.0,,14.9
9,2020,34,NYG,,12.0,4,2,1-1-0,40,66,60.6,375,1,1.5,1,1.5,35,5.7,5.3,9.4,93.8,75.0,5,24,7.0,4.94,4.59,,,1,208,19.0,,29.7
10,2021,35,ARI,qb,12.0,8,3,2-1-0,74,99,74.7,740,3,3.0,1,1.0,50,7.5,7.6,10.0,92.5,101.4,6,40,5.7,6.67,6.81,,,3,208,39.0,,54.5
11,Career,Career,,,,52,33,10-23-0,674,1088,61.9,7195,33,3.0,29,2.7,71,6.6,6.0,10.7,138.4,80.3,100,604,8.4,5.55,5.01,2.0,5.0,17,208,353.0,,
12,5 yrs,5 yrs,WAS,,,12,7,1-6-0,150,220,68.2,1679,8,3.6,7,3.2,71,7.6,6.9,11.2,139.9,89.6,30,210,12.0,5.88,5.26,1.0,2.0,4,208,70.0,,
13,3 yrs,3 yrs,CLE,,,24,21,6-15-0,409,702,58.3,4388,21,3.0,20,2.8,56,6.3,5.6,10.7,182.8,74.8,59,330,7.8,5.33,4.7,1.0,3.0,9,208,224.0,,
14,1 yr,1 yr,ARI,,,8,3,2-1-0,74,99,74.7,740,3,3.0,1,1.0,50,7.5,7.6,10.0,92.5,101.4,6,40,5.7,6.67,6.81,,,3,208,39.0,,
15,1 yr,1 yr,NYG,,,4,2,1-1-0,40,66,60.6,375,1,1.5,1,1.5,35,5.7,5.3,9.4,93.8,75.0,5,24,7.0,4.94,4.59,,,1,208,19.0,,
16,1 yr,1 yr,SFO,,,4,0,,1,1,100.0,13,0,0.0,0,0.0,13,13.0,13.0,13.0,3.3,118.7,0,0,0.0,13.0,13.0,,,0,208,1.0,,
0,1984,24,STL,,14.0,4,0.0,,0,4,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,209,,,
1,1985,25,STL,,14.0,2,0.0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,209,,,
2,Career,Career,,,,6,,,0,4,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,209,,,
